|codigo|tema|ativo|ordem|livro|banco_tematico|versos|verbetes_no_texto|verbetes_do_tema|total_de_itimos|qtd_de_variacoes|qtd_cientifica|
|M0001|Ais|S|1|ensaios|machina|3|10|162|147|275148900|2.75e+08|
|M0002|Amaré|S|2|livro vivo;poemas|persona|5|23|89|251|54191856554035200|5.42e+16|
|M0003|Anjos|S|3|livro vivo;outros autores|author|14|62|255|261|9276752574317347209216000000000|9.28e+30|
|M0004|Aolero|S|4|livro vivo;variações|anima|8|20|373|246|7581869568000|7.58e+12|
|M0005|Arerir|S|5|ensaios|machina|4|9|156|197|12305920|1.23e+07|
|M0006|Astros|S|6|livro vivo;ensaios|esoteric|6|16|263|129|637528320|6.38e+08|
|M0007|Atido|S|7|livro vivo;poemas|persona|5|17|247|200|834290150400|8.34e+11|
|M0008|Augusto|S|8|outros autores|author|14|66|368|392|731619324106718334890803200000000000000|7.32e+38|
|M0009|Avevida|S|9|livro vivo|anima|3|10|294|268|2122788864|2.12e+09|
|M0010|Babel|S|10|ensaios;metalinguagem|machina|1|2|1|2|1|1.00e+00|
|M0011|Batismo|S|11|metalinguagem|machina|4|10|91|51|32640|3.26e+04|
|M0012|Beaba|S|12|livro vivo;metalinguagem|machina|5|17|117|128|17923368960000|1.79e+13|
|M0013|Becos|S|13|poemas;sociais|persona|8|22|302|264|298456756332134400|2.98e+17|
|M0014|bi-palavras|S|14||machina|4|9|65|42|4732|4.73e+03|
|M0015|Blablabla|S|15|variações;metalinguagem|joco|3|6|398|270|24360000|2.44e+07|
|M0016|Bolero|S|16|variações|author|8|19|266|418|157517650667520000|1.58e+17|
|M0017|Brado|S|17|livro vivo;jocosos;sociais|joco|5|15|224|168|747242496000|7.47e+11|
|M0018|Bula|S|18|variações|joco|3|12|190|142|85503600|8.55e+07|
|M0019|Cacos|S|19||author|6|14|475|511|72827464500000|7.28e+13|
|M0020|Cadência|S|20|metalinguagem|joco|3|9|132|127|9463860|9.46e+06|
|M0021|Carroussel|S|21||anima|5|14|77|64|3919104|3.92e+06|
|M0022|Cartaz|S|22|livro vivo;jocosos;metalinguagem|joco|10|36|274|317|699764141900462284800000|7.00e+23|
|M0023|Circular|S|23||persona|6|16|171|153|1337851468800|1.34e+12|
|M0024|Ciuminho|S|24|livro vivo;poemas;variações|beauty|6|20|801|677|18053038201259160000|1.81e+19|
|M0025|Clandestino|S|25|livro vivo;poemas;outros autores|author|9|18|202|120|16899176448|1.69e+10|
|M0026|Clarice|S|26|livro vivo;poemas;outros autores|persona|8|25|122|85|54432000000|5.44e+10|
|M0027|Conto|S|27|livro vivo;poemas|anima|10|21|257|154|132723360000000|1.33e+14|
|M0028|Cordel|S|28|metalinguagem|joco|3|12|190|138|1048110000|1.05e+09|
|M0029|Críticas|S|29||joco|17|49|327|331|871906910318166999564288000000|8.72e+29|
|M0030|Crítico|S|30||author|10|30|141|90|367332019200|3.67e+11|
|M0031|Cromossomo|S|31|livro vivo;jocosos;sociais|joco|9|24|203|134|2779486617600|2.78e+12|
|M0032|Cuores|S|32|livro vivo;poemas|persona|9|36|169|246|2126233687818240000000|2.13e+21|
|M0033|Demo|S|33|ensaios|joco|4|10|128|211|6429196800|6.43e+09|
|M0034|Destinos|S|34|jocosos;variações|anima|8|36|654|627|6778327515640192512000|6.78e+21|
|M0035|Distintos|S|35|livro vivo;jocosos;variações|anima|8|36|651|627|6380511142927406284800|6.38e+21|
|M0036|Dolores|S|36|livro vivo;variações|persona|9|20|458|293|247676194022400000|2.48e+17|
|M0037|Duralex|S|37|sociais|machina|3|15|159|145|6706022400|6.71e+09|
|M0038|Eles|S|38||tempo|5|12|91|53|113400|1.13e+05|
|M0039|Elogio|S|39|livro vivo;poemas;outros autores|author|5|10|201|87|831600|8.32e+05|
|M0040|Enfrente|S|40|livro vivo|persona|4|12|97|62|8890560|8.89e+06|
|M0041|Epitafiando|S|41|livro vivo;variações|machina|5|15|393|434|50484814969680|5.05e+13|
|M0042|Escriba|S|42|outros autores|author|12|35|268|236|425301477100093440000|4.25e+20|
|M0043|Essa|S|43|livro vivo;metalinguagem|anima|5|23|261|251|36084467865600|3.61e+13|
|M0044|Essas|S|44|livro vivo;ensaios;variações|persona|5|12|253|239|169558272000|1.70e+11|
|M0045|Esses|S|45|ensaios;variações|machina|14|14|54|88|4898880|4.90e+06|
|M0046|Estudo|S|46|jocosos|joco|6|18|271|241|486150160003200|4.86e+14|
|M0047|Eus|S|47||anima|5|11|158|185|575890560|5.76e+08|
|M0048|Evidências|S|48||machina|3|9|37|72|4745520|4.75e+06|
|M0049|Fabulas|S|49||joco|5|16|144|102|923400000|9.23e+08|
|M0050|Fake-News|S|50||joco|17|45|123|334|87405037707755520000000000000|8.74e+28|
|M0051|Fatos|S|51|livro vivo|author|17|59|419|335|1122238708489596891561984000000|1.12e+30|
|M0052|Feiras|S|52|livro vivo;metalinguagem;sociais|author|9|22|312|247|1024215895987200000|1.02e+18|
|M0053|Festim|S|53|livro vivo;poemas|anima|7|21|255|147|476150875200|4.76e+11|
|M0054|Finalmentes|S|54|livro vivo;outros autores|esoteric|6|17|239|196|154939599360000|1.55e+14|
|M0055|Frases|S|55|jocosos|joco|4|12|299|168|332299968|3.32e+08|
|M0056|Fugaz|S|56|livro vivo;variações|anima|5|13|444|594|17416269561600000|1.74e+16|
|M0057|Gula|S|57|livro vivo;jocosos|joco|6|18|258|270|1063827923558400|1.06e+15|
|M0058|Haikai|S|58|variações|anima|3|7|570|572|479204121600|4.79e+11|
|M0059|Imaginação|S|59|ensaios|joco|2|9|81|109|793800|7.94e+05|
|M0060|Impar|S|60|sociais|anima|4|16|75|63|653184|6.53e+05|
|M0061|i-Mundo|S|61|livro vivo;sociais|author|6|23|233|224|697095243694080000|6.97e+17|
