|Ais|Machina|machina|3|160|160|147|275148900|2.75e+08|
|Amaré|Machina|persona|5|86|86|251|54191856554035200|5.42e+16|
|Ana|Machina|author|1|31|31|32|800|8.00e+02|
|Anjos|Machina|machina|14|242|242|261|9276752574317347209216000000000|9.28e+30|
|Aolero|Machina|anima|8|349|349|246|7581869568000|7.58e+12|
|Arerir|Machina|machina|4|154|154|196|9229440|9.23e+06|
|Astros|Machina|esoteric|6|244|244|129|637528320|6.38e+08|
|Atido|Machina|anima|5|233|233|200|834290150400|8.34e+11|
|Augusto|Machina|machina|14|359|359|392|731619324106718334890803200000000000000|7.32e+38|
|Avevida|Machina|anima|3|282|282|268|2122788864|2.12e+09|
|Babel|Machina|machina|1|1|1|2|1|1.00e+00|
|Batismo|Machina|machina|4|82|82|51|32640|3.26e+04|
|Beaba|Machina|machina|5|109|109|128|17923368960000|1.79e+13|
|Becos|Machina|anima|8|286|286|264|298456756332134400|2.98e+17|
|Blablabla|Machina|joco|3|377|377|270|24360000|2.44e+07|
|Bolero|Machina|author|8|250|250|418|157517650667520000|1.58e+17|
|Brado|Machina|joco|5|210|210|168|747242496000|7.47e+11|
|Bula|Machina|joco|3|181|181|142|85503600|8.55e+07|
|Cadência|Machina|Machina|3|127|127|127|9463860|9.46e+06|
|Cartaz|Machina|joco|10|267|267|317|699764141900462284800000|7.00e+23|
|Carroussel|Machina|Machina|5|67|67|68|6742008|6.74e+06|
|Circular|Machina|anima|6|159|159|153|1337851468800|1.34e+12|
|Ciuminho|Machina|beauty|6|812|812|548|880083097058880000|8.80e+17|
|Clandestino|Machina|anima|9|187|187|120|16899176448|1.69e+10|
|Clarice|Machina|persona|8|109|109|85|54432000000|5.44e+10|
|Conto|Machina|anima|10|240|240|154|132723360000000|1.33e+14|
|Cordel|Machina|joco|3|178|178|138|1048110000|1.05e+09|
|Críticas|Machina|joco|17|313|313|323|406889891481811266463334400000|4.07e+29|
|Crítico|Machina|anima|10|125|125|90|367332019200|3.67e+11|
|Cromossomo|Machina|joco|9|190|190|134|2779486617600|2.78e+12|
|Cuores|Machina|persona|9|160|160|250|3779971000565760000000|3.78e+21|
|Demo|Machina|Machina|4|113|113|211|6429196800|6.43e+09|
|Destinos|Machina|anima|8|638|638|627|6778327515640192512000|6.78e+21|
|Distintos|Machina|anima|8|636|636|627|6380511142927406284800|6.38e+21|
|Dolores|Machina|persona|9|432|432|293|247676194022400000|2.48e+17|
|Duralex|Machina|machina|3|149|149|145|6706022400|6.71e+09|
|Elogio|Machina|anima|5|191|191|87|831600|8.32e+05|
|Enfrente|Machina|persona|4|83|83|62|8890560|8.89e+06|
|Epitafiando|Machina|machina|5|368|368|434|50484814969680|5.05e+13|
|Escriba|Machina|anima|12|253|253|236|425301477100093440000|4.25e+20|
|Essa|Machina|anima|5|250|250|250|35376929280000|3.54e+13|
|Essas|Machina|persona|5|247|247|239|169558272000|1.70e+11|
|Esses|Machina|machina|14|50|50|88|4898880|4.90e+06|
|Estudo|Machina|joco|6|249|249|241|486150160003200|4.86e+14|
|Evidências|Machina|Machina|3|34|34|67|3163680|3.16e+06|
|Fatos|Machina|machina|17|403|403|335|1122238708489596891561984000000|1.12e+30|
|Feiras|Machina|joco|9|292|292|247|1024215895987200000|1.02e+18|
|Festim|Machina|anima|7|234|234|147|476150875200|4.76e+11|
|Finalmentes|Machina|esoteric|6|227|227|196|154939599360000|1.55e+14|
|Frases|Machina|joco|4|285|285|168|332299968|3.32e+08|
|Fugaz|Machina|anima|5|427|427|594|17416269561600000|1.74e+16|
|Gula|Machina|joco|6|245|245|270|1063827923558400|1.06e+15|
|Haikai|Machina|anima|3|545|545|572|479204121600|4.79e+11|
|i-Mundo|Machina|machina|6|223|223|223|522821432770560000|5.23e+17|
|Impar|Machina|anima|4|66|66|63|653184|6.53e+05|
|Indolor|Machina|anima|9|518|518|386|468886830572160000000|4.69e+20|
|Inhos|Machina|anima|7|183|183|103|314496000|3.14e+08|
|Insano|Machina|joco|5|162|162|140|1100736000000|1.10e+12|
|Joker|Machina|joco|4|134|134|146|547714379520|5.48e+11|
|Lato|Machina|author|8|269|269|283|43937882486784000000|4.39e+19|
|Leituras|Machina|author|10|166|166|136|1024192512000000|1.02e+15|
|Lero|Machina|Machina|5|294|294|340|225444710400|2.25e+11|
|Liberta|Machina|anima|12|161|161|130|5530639564800|5.53e+12|
|Loremipsum|Machina|machina|8|94|94|45|1843200|1.84e+06|
|Machbeth|Machina|persona|10|279|279|163|398340963820800|3.98e+14|
|Machbrait|Machina|anima|14|329|329|206|106563309679411200000|1.07e+20|
|Manifesto|Machina|machina|15|531|531|507|27941438662973671531004544079311667200000|2.79e+40|
|Manusgrite|Machina|joco|11|151|151|130|963158999040000|9.63e+14|
|Manusgrito|Machina|author|11|150|150|128|842764124160000|8.43e+14|
|Meteoro|Machina|joco|10|307|307|316|65044548902931333120000|6.50e+22|
|Minuto|Machina|esoteric|6|268|268|213|2817522540000|2.82e+12|
|Mirante|Machina|persona|5|149|149|211|7892654740185600|7.89e+15|
|Nonono|Machina|machina|9|403|403|572|145218793269173944320000|1.45e+23|
|Nós|Machina|machina|10|120|120|124|903636518400|9.04e+11|
|Ola|Machina|Machina|1|35|35|35|1248|1.25e+03|
|Oca|Machina|beauty|4|202|202|161|29932156800|2.99e+10|
|Ocio|Machina|joco|14|477|477|385|29717837074855467417600000000000|2.97e+31|
|Oco|Machina|anima|4|201|201|160|26606361600|2.66e+10|
|Oficia|Machina|Machina|15|508|508|525|5792307731598100109595770880000000|5.79e+33|
|Oficio|Machina|author|15|521|521|475|57110137135498442550804480000000|5.71e+31|
|Ogiva|Machina|beauty|5|235|235|232|1624147132608000|1.62e+15|
|Ola|Machina|Machina|1|35|35|35|1248|1.25e+03|
|Olhares|Machina|persona|14|175|175|464|167249974512681215092510949376000000|1.67e+35|
|Ores|Machina|Machina|4|85|85|108|307419840|3.07e+08|
|Paz|Machina|Machina|3|36|36|53|432432|4.32e+05|
|Palyndro|Machina|machina|13|57|57|52|967680|9.68e+05|
|Papilio|Machina|persona|14|550|550|299|17276809528053504000|1.73e+19|
|Paroles|Machina|machina|6|399|399|418|58025870622720000|5.80e+16|
|Passagens|Machina|machina|7|156|156|118|95777510400|9.58e+10|
|Paz|Machina|Machina|3|36|36|53|432432|4.32e+05|
|Pedidos|Machina|anima|8|153|153|93|13412044800|1.34e+10|
|Perfil|Machina|beauty|6|322|322|236|20427651921600000|2.04e+16|
|Pessoa|Machina|anima|7|85|85|58|4665600|4.67e+06|
|Portal|Machina|machina|6|368|368|298|1754298589680|1.75e+12|
|Posfácio|Machina|anima|16|273|273|267|23356081768224522240000000|2.34e+25|
|Preciso|Machina|joco|11|205|205|154|1991030243328000|1.99e+15|
|Prefácil|Machina|joco|13|318|318|307|4056543979949260800000000|4.06e+24|
|Psiu|Machina|persona|4|504|504|322|3464123520|3.46e+09|
|Reger|Machina|anima|7|106|106|85|404352000|4.04e+08|
|Reinos|Machina|joco|11|207|207|256|789146976367411200|7.89e+17|
|Remedeio|Machina|joco|3|393|393|185|1967232|1.97e+06|
|Rever|Machina|anima|4|121|121|80|3119040|3.12e+06|
|Restos|Machina|anima|5|109|109|116|589906800|5.90e+08|
|Rito|Machina|joco|4|135|135|169|57550500000|5.76e+10|
|Salute|Machina|machina|5|520|520|267|32637136896|3.26e+10|
|Saudades|Machina|persona|6|256|256|181|7420616146944|7.42e+12|
|Seguro|Machina|joco|9|101|101|67|373248000|3.73e+08|
|Sentença|Machina|anima|7|236|236|165|159667040332800|1.60e+14|
|Ser|Machina|anima|5|147|147|85|1028160|1.03e+06|
|Silente|Machina|anima|9|299|299|254|313233575510016000000|3.13e+20|
|Sinais|Machina|anima|5|237|237|319|329504881305600|3.30e+14|
|Sinas|Machina|beauty|5|236|236|285|2526115680000|2.53e+12|
|Sn6=ball|Machina|machina|13|234|234|252|258863705100000|2.59e+14|
|Sn8=ball|Machina|machina|16|234|234|251|1682614083150000|1.68e+15|
|SnowBall|Machina|machina|20|407|407|427|20441528502877359259200000|2.04e+25|
|Solero|Machina|Machina|8|357|357|252|34215616512000|3.42e+13|
|Sonoro|Machina|anima|3|104|104|89|1117800|1.12e+06|
|Sopros|Machina|anima|9|234|234|189|94680907776000000|9.47e+16|
|Sos|Machina|joco|5|197|197|220|6111356719104|6.11e+12|
|Tempo|Machina|machina|14|916|916|1745|112765820236797923580529825269143876665344000000000|1.13e+50|
|Tempus|Machina|machina|6|95|95|101|348713164800|3.49e+11|
|Tiro|Machina|author|9|477|477|384|2903854393440000000|2.90e+18|
|Tolero|Machina|anima|14|303|303|420|6372790375311360000|6.37e+18|
|Una|Machina|Machina|1|29|29|30|640|6.40e+02|
|Una_abertura|Machina|Machina|15|163|163|184|137620010418831360000000|1.38e+23|
|Usinas|Machina|anima|7|234|234|225|102938787190407168000|1.03e+20|
|Veio|Machina|anima|7|355|355|318|2907865942960295116800|2.91e+21|
|Victor|Machina|anima|8|164|164|112|308998800|3.09e+08|
|Vozes|Machina|Machina|3|125|125|85|393120|3.93e+05|
|Zelo|Machina|persona|6|390|390|246|151240320|1.51e+08|
|Zodiacaos|Machina|joco|16|396|396|375|14365992237323928993792000000000000|1.44e+34|
|Zoia|Machina|persona|14|197|197|484|23297836384021203533168640000000000|2.33e+34|
|Aquarius=f|Machina|esoteric|8|110|110|75|107811000|1.08e+08|
|Aquarius=m|Machina|esoteric|8|111|111|75|107811000|1.08e+08|
|Aries=f|Machina|esoteric|6|91|91|58|1848000|1.85e+06|
|Aries=m|Machina|esoteric|6|91|91|58|1848000|1.85e+06|
|Cancer=f|Machina|esoteric|7|101|101|82|30965760|3.10e+07|
|Cancer=m|Machina|esoteric|7|101|101|82|30965760|3.10e+07|
|Caprico=f|Machina|esoteric|7|110|110|86|459841536|4.60e+08|
|Caprico=m|Machina|esoteric|7|110|110|86|459841536|4.60e+08|
|Escorpio=f|Machina|esoteric|6|104|104|72|853493760|8.53e+08|
|Escorpio=m|Machina|esoteric|6|104|104|72|853493760|8.53e+08|
|Gemeos=f|Machina|esoteric|7|101|101|59|1782000|1.78e+06|
|Gemeos=m|Machina|esoteric|7|102|102|59|1782000|1.78e+06|
|Leao=f|Machina|esoteric|6|81|81|58|1036800|1.04e+06|
|Leao=m|Machina|esoteric|6|80|80|58|1036800|1.04e+06|
|Libra=f|Machina|esoteric|6|94|94|77|21228480|2.12e+07|
|Libra=m|Machina|esoteric|6|94|94|77|21228480|2.12e+07|
|Peixes=f|Machina|esoteric|6|91|91|53|1209600|1.21e+06|
|Peixes=m|Machina|esoteric|6|89|89|52|1058400|1.06e+06|
|Sagitari=f|Machina|esoteric|8|111|111|81|2911334400|2.91e+09|
|Sagitari=m|Machina|esoteric|8|111|111|81|2911334400|2.91e+09|
|Touro=f|Machina|esoteric|5|103|103|59|1254528|1.25e+06|
|Touro=m|Machina|esoteric|5|103|103|59|1254528|1.25e+06|
|Virgem=f|Machina|esoteric|7|89|89|110|4255027200|4.26e+09|
|Virgem=m|Machina|esoteric|7|87|87|107|3616773120|3.62e+09|
